id,category_group,name,price,brand,color,rating,sold_qty,url,image
370752,Điện thoại,Điện thoại OPPO A6 6GB/128GB,8840000,OPPO,Vàng,,,https://www.thegioididong.com/dtdd/oppo-a6-6gb-128gb,https://cdn.tgdd.vn/Products/Images/42/370752/oppo-a6-gold-thumb-600x600.jpg
363466,Điện thoại,Điện thoại Vivo V70 FE 5G 8GB/256GB,13030000,vivo,Tím,4.9,"Đã bán 13,8k",https://www.thegioididong.com/dtdd/vivo-v70-fe-8gb-256gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/363466/vivo-v70-fe-8gb-256gb-tim-thumb-1-600x600.jpg
367427,Điện thoại,Điện thoại realme C100x 4GB/128GB,6640000,realme,Xanh,5,Đã bán 8k,https://www.thegioididong.com/dtdd/realme-c100x-4gb-128gb,https://cdn.tgdd.vn/Products/Images/42/367427/realme-c100x-xanh-thumb-1-600x600.jpg
358683,Điện thoại,Điện thoại HONOR X9d 5G 12GB/256GB,10340000,HONOR,Đỏ,4.9,Đã bán 11k,https://www.thegioididong.com/dtdd/honor-x9d-5g-12gb-256gb,https://cdn.tgdd.vn/Products/Images/42/358683/honor-x9d-5g-12gb-256gb-do-thumb-1-2-600x600.jpg
367204,Điện thoại,Điện thoại Tecno Spark 50 4GB/128GB,4640000,Tecno,Xám,5,Đã bán 673,https://www.thegioididong.com/dtdd/tecno-spark-50-4gb-128gb,https://cdn.tgdd.vn/Products/Images/42/367204/tecno-spark-50-4gb-128gb-xam-thumb-600x600.png
367975,Điện thoại,Điện thoại Motorola Edge 70 Fusion 8GB/128GB,8440000,Motorola,Xanh Lam Nhạt,4.9,Đã bán 265,https://www.thegioididong.com/dtdd/motorola-edge-70-fusion-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/367975/motorola-edge-70-fusion-xanh-lam-thumb-1-600x600.jpg
281570,Điện thoại,Điện thoại iPhone 15 128GB,21990000,iPhone (Apple),Xanh dương nhạt,4.9,"Đã bán 144,5k",https://www.thegioididong.com/dtdd/iphone-15,https://cdn.tgdd.vn/Products/Images/42/281570/iphone-15-xanh-thumb-600x600.jpg
342670,Điện thoại,Điện thoại iPhone Air 256GB,22990000,iPhone (Apple),Vàng Nhạt,4.9,"Đã bán 13,9k",https://www.thegioididong.com/dtdd/iphone-air,https://cdn.tgdd.vn/Products/Images/42/342670/iphone-air-vang-thumb-600x600.jpg
361947,Điện thoại,Điện thoại Samsung Galaxy S26 5G 12GB/256GB,19500000,Samsung,Xanh Dương,5,"Đã bán 3,5k",https://www.thegioididong.com/dtdd/samsung-galaxy-s26-12gb-256gb,https://cdn.tgdd.vn/Products/Images/42/361947/samsung-galaxy-s26-12gb-256gb-xanh-thumb-600x600.jpg
368099,Điện thoại,Điện thoại OPPO Reno16 5G 8GB/256GB,18340000,OPPO,Tím nhạt,5,"Đã bán 5,5k",https://www.thegioididong.com/dtdd/oppo-reno16-5g-8gb-256gb,https://cdn.tgdd.vn/Products/Images/42/368099/oppo-reno16-5g-8gb-256gb-tim-nhat-thumb-600x600.jpg
